Protein Set,LUMA1,LUMA2,LUMA3,LUMA4,LUMA5,LUMB1,LUMB2,LUMB3,LUMB4,LUMB5,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,ZDRAVI1,ZDRAVI2,ZDRAVI3,ZDRAVI4,ZDRAVI5,ZDRAVI6,ZDRAVI7,ZDRAVI8,ZDRAVI9,ZDRAVI10
HLAC_HUMAN,NA,NA,NA,NA,3.9534883,NA,NA,2.0,NA,0.6779661,3.4772727,14.857142,3.0,5.0,6.785714,4.0,0.7386364,9.0,NA,7.0,7.0,9.857143,NA,3.0,NA
SEPT6_HUMAN,3.0,NA,4.0,2.0,17.0,2.0,12.0,3.0,3.0,9.0,6.0,9.0,9.0,14.0,16.0,11.0,12.0,25.0,2.0,5.0,7.0,12.0,11.0,17.0,2.0
HNRPF_HUMAN,1.4102564,NA,NA,4.4102564,9.461538,5.52809,3.52809,4.764045,NA,7.4382024,0.3580247,4.716049,3.3580246,NA,3.7901235,3.148148,1.7160494,2.7901235,4.074074,3.3580246,4.3580246,4.432099,5.148148,3.148148,1.074074
LEG1_HUMAN,NA,NA,NA,3.0,NA,3.0,15.0,8.0,1.0,7.0,1.0,NA,4.0,NA,NA,NA,NA,NA,15.0,NA,1.0,NA,NA,9.0,2.0
H1X_HUMAN,13.0,NA,2.0,1.0,12.0,19.0,7.0,5.0,9.0,9.0,7.0,20.0,12.0,14.0,12.0,23.0,15.0,9.0,10.0,17.0,12.0,20.0,15.0,10.0,20.0
DECR_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,3.0,NA,NA,1.0,NA,NA,NA,1.0,4.0,2.0,6.0,3.0,NA
SH3L3_HUMAN,3.0,NA,17.0,12.0,9.0,13.0,13.0,13.0,7.0,11.0,13.0,29.0,22.0,12.0,18.0,3.0,13.0,10.0,17.0,17.0,15.0,8.0,19.0,19.0,8.0
SRSF7_HUMAN,7.7643313,0.39490446,1.1847134,6.133758,15.974523,11.735849,17.73585,9.490566,5.6603775,16.320755,7.101695,3.7570622,5.757062,3.7231638,12.101695,6.7909603,11.4802265,5.1355934,9.446327,11.514124,7.4463277,7.101695,6.4124293,7.4463277,5.4124293
PSA2_HUMAN,NA,NA,NA,NA,14.0,NA,19.0,13.0,2.0,8.0,NA,NA,1.0,7.0,5.0,NA,NA,NA,4.0,NA,1.0,1.0,3.0,9.0,1.0
K2C5_HUMAN,1.224719,0.45822942,2.593061,0.77283615,2.0872455,0.7118644,6.3050847,1.1864407,0.118644066,2.9491525,3.7594936,3.3670886,0.53164554,1.607595,NA,NA,NA,NA,0.30379745,0.22784808,NA,NA,0.22784808,0.07594936,0.6835443
TCPQ_HUMAN,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,5.0,5.0,2.0,5.0,5.0,2.0,6.0,NA,3.0,NA,4.0,5.0,5.0,NA
ARPC4_HUMAN,21.0,17.0,14.0,10.0,25.0,27.0,29.0,24.0,21.0,23.0,25.0,30.0,25.0,27.0,21.0,46.0,15.0,18.0,14.0,19.0,22.0,32.0,28.0,31.0,15.0
RLA2_HUMAN,9.0,NA,4.0,11.0,8.0,6.0,11.0,16.0,8.0,11.0,NA,2.0,NA,NA,NA,12.0,2.0,NA,2.0,2.0,4.0,11.0,16.0,11.0,NA
SDHA_HUMAN,NA,NA,NA,NA,13.0,4.0,12.0,2.0,1.0,8.0,NA,NA,NA,4.0,NA,NA,NA,NA,NA,1.0,NA,1.0,2.0,NA,1.0
H2AV_HUMAN,35.955673,27.044025,30.51812,25.606468,22.378857,35.38919,11.864407,7.7230573,18.847137,11.864407,41.264366,39.149426,39.097702,25.114943,24.563217,48.442528,50.58046,53.143677,30.431034,37.264366,34.10919,44.097702,39.482758,25.856321,20.563217
TCPZ_HUMAN,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,5.0,2.0,9.974359,5.0,1.0,NA,3.0,NA,NA,3.0,6.0,NA,3.0,1.0
NACAM_HUMAN,1.0,NA,NA,1.0,1.0,NA,15.0,4.0,1.0,5.0,1.0,3.0,NA,1.0,NA,NA,1.0,NA,14.821428,6.0,4.964286,NA,NA,1.0,NA
HNRPL_HUMAN,NA,NA,4.0,7.0,16.0,14.0,3.0,6.0,5.0,23.0,4.0,12.0,9.0,21.0,9.0,16.0,12.0,12.0,9.0,18.0,12.0,15.0,14.0,15.0,3.0
CDC42_HUMAN,8.0,1.509434,2.764151,2.2547169,8.528302,6.202312,13.300578,11.601156,2.901734,13.202312,3.7593052,5.5062037,4.012407,22.024815,10.759305,19.0,7.012407,9.771712,1.2531017,6.253102,6.012407,1.5062034,12.771712,2.2531018,2.7593052
PSB9_HUMAN,NA,NA,1.0,6.0,11.0,11.0,26.0,7.0,3.0,23.0,7.0,1.0,8.0,4.0,2.0,NA,1.0,NA,9.0,3.0,2.0,5.0,6.0,6.0,6.0
SEPT9_HUMAN,NA,NA,1.0,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,2.0,5.0,2.0,3.0,7.0,NA,4.0,5.0,3.0,2.0,5.0,NA
PLSI_HUMAN,0.07700535,1.0770054,2.1540108,6.2053475,0.07700535,3.093907,0.023476802,0.046953604,0.070430405,0.023476802,2.262097,10.32034,10.145609,4.203853,0.2620968,5.262097,1.0873656,10.174731,0.029121865,1.0582438,11.232975,8.203853,0.20385306,3.46595,0.029121865
ILF3_HUMAN,NA,NA,1.0,NA,6.0,2.0,NA,NA,NA,1.0,NA,NA,6.0,6.0,1.0,11.0,NA,3.0,NA,NA,2.0,2.0,9.0,5.0,NA
RL12_HUMAN,3.0,NA,NA,1.0,NA,5.0,3.0,NA,NA,6.0,4.0,7.0,10.0,2.0,2.0,4.0,10.0,3.0,NA,8.0,7.0,9.0,9.0,2.0,1.0
RL14_HUMAN,5.0,NA,3.0,2.0,16.0,14.0,17.0,16.0,5.0,19.0,3.0,15.0,20.0,19.0,18.0,20.0,9.0,17.0,2.0,27.0,15.0,16.0,16.0,18.0,8.0
PA2G4_HUMAN,1.0,NA,NA,NA,11.0,3.0,10.0,NA,NA,2.0,NA,1.0,NA,2.0,NA,6.0,NA,NA,NA,NA,NA,1.0,3.0,2.0,NA
PSA4_HUMAN,1.0,NA,NA,2.0,12.0,6.0,22.0,15.0,NA,16.0,8.0,8.0,3.0,7.0,5.0,3.0,4.0,8.0,2.0,8.0,6.0,13.0,8.0,10.0,NA
PAIRB_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,5.0
ROAA_HUMAN,11.758064,3.548387,9.870968,7.983871,18.532257,16.407408,21.592592,11.333333,5.703704,16.481482,15.656716,3.597015,7.925373,7.7910447,14.38806,18.119404,12.791044,11.19403,19.25373,11.059702,11.522388,13.38806,8.656716,14.791044,11.656716
GDIR1_HUMAN,5.0,NA,1.0,5.0,17.0,10.0,14.0,13.0,7.0,9.0,7.0,10.0,7.0,13.0,11.0,NA,1.0,2.0,13.0,7.0,6.0,7.0,4.0,10.0,3.0
PSB2_HUMAN,NA,NA,NA,NA,3.0,6.0,16.0,7.0,NA,6.0,6.0,NA,2.0,4.0,1.0,NA,4.0,4.0,12.0,8.0,6.0,1.0,1.0,NA,NA
HLAH_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VDAC1_HUMAN,NA,NA,NA,NA,3.0,4.0,NA,NA,NA,1.0,6.0,9.0,13.0,5.0,3.0,21.0,2.0,11.0,NA,7.0,6.0,10.0,21.0,8.0,3.0
1433S_HUMAN,0.1103849,0.12200436,0.104575165,0.1103849,0.08714597,2.125448,0.1493429,0.0776583,0.05376344,0.14336918,1.101932,0.11392406,0.11992006,0.065956034,0.11992005,0.16189209,0.13191207,0.10193205,0.11392406,0.095936045,0.13191207,0.10792805,4.113924,4.11992,0.077948034
PARP1_HUMAN,NA,NA,NA,NA,10.0,4.0,NA,NA,3.0,NA,4.0,NA,4.0,11.0,7.0,5.0,NA,1.0,NA,1.0,3.0,5.0,NA,1.0,NA
ADT2_HUMAN,1.0,NA,0.81632656,NA,0.81632656,NA,NA,NA,NA,NA,NA,4.4,5.0,4.8,2.0,15.4,NA,1.6,NA,0.8,4.2,3.4,6.2,2.0,1.0
DEK_HUMAN,2.0,NA,1.0,NA,1.0,3.0,NA,NA,2.0,NA,NA,6.0,4.0,5.0,2.0,2.0,2.0,NA,2.0,5.0,3.0,1.0,7.0,2.0,1.0
TCPD_HUMAN,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,2.0,NA,5.0,NA,3.0,NA,NA,NA,3.0,2.0,2.0,NA,NA,2.0
RS2_HUMAN,NA,NA,2.0,NA,10.0,2.0,NA,NA,NA,NA,NA,6.0,5.0,12.0,9.0,4.0,NA,12.0,NA,4.0,2.0,6.0,10.0,10.0,3.0
S10AB_HUMAN,13.0,5.0,15.0,24.0,12.0,17.0,25.0,18.0,8.0,16.0,3.0,21.0,14.0,5.0,4.0,9.0,2.0,6.0,11.0,17.0,12.0,17.0,12.0,14.0,3.0
PRDX6_HUMAN,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,2.0,NA,3.0,4.0,NA,2.0,2.0,NA,NA,NA,NA,2.0,NA,NA
ODO2_HUMAN,10.0,NA,2.0,NA,6.0,6.0,NA,NA,2.0,2.0,NA,2.0,NA,4.0,3.0,2.0,NA,8.0,11.0,2.0,2.0,6.0,3.0,4.0,2.0
ADT3_HUMAN,NA,NA,3.1836734,NA,3.1836734,NA,NA,NA,NA,1.0,NA,4.6000004,10.0,4.2,9.0,13.6,NA,4.4,NA,1.2,6.8,6.6000004,10.8,4.0,1.0
PHB_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.0,3.0,3.0,NA,NA,2.0,NA,3.0,NA,2.0,1.0,1.0,2.0
RBP56_HUMAN,NA,NA,NA,NA,7.0,0.90000004,2.7,3.1000001,1.2,1.2,1.7142857,NA,0.42857143,2.2857144,1.2857143,0.42857143,2.7142859,0.42857143,7.0,4.285714,3.4285715,3.4285715,1.7142857,NA,0.42857143
PTBP1_HUMAN,NA,NA,4.0,NA,NA,2.0,NA,NA,NA,NA,2.0,4.0,10.0,7.0,10.0,13.0,5.0,12.0,1.0,9.0,12.0,9.0,11.0,11.0,NA
EFTU_HUMAN,NA,NA,NA,NA,4.0,NA,2.0,6.0,NA,10.0,NA,NA,NA,8.0,1.0,2.0,NA,2.0,NA,NA,3.0,3.0,3.0,NA,NA
HNRDL_HUMAN,1.3694658,0.4516129,1.2990727,1.1861695,1.5811021,2.9204614,8.598664,3.8579235,1.4602307,3.7917426,1.6028991,0.6279851,1.2303962,1.3474169,3.7157865,2.105597,2.451263,1.0655856,2.9366534,1.2345294,1.7372274,1.8888634,5.550976,2.4166477,1.4644375
SAFB1_HUMAN,NA,NA,NA,NA,3.0,1.7142857,2.857143,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,4.0,NA,1.0,1.0,NA,NA,NA
RS6_HUMAN,NA,NA,NA,NA,NA,1.0,2.0,2.0,NA,1.0,NA,NA,NA,5.0,NA,NA,1.0,3.0,NA,NA,1.0,3.0,1.0,NA,1.0
PSB3_HUMAN,NA,NA,NA,1.0,2.0,2.0,4.0,2.0,2.0,3.0,NA,NA,2.0,1.0,3.0,2.0,NA,NA,NA,NA,NA,1.0,NA,4.0,NA
H2A2B_HUMAN,5.126984,4.3333335,4.650794,2.857143,10.698413,2.8474574,2.4237287,0.8135593,5.322034,6.423729,4.4848485,3.878788,5.878788,10.787879,11.424242,4.2424245,3.878788,3.3939395,2.909091,6.030303,5.030303,4.878788,17.636364,7.787879,7.4242425
PDIA6_HUMAN,NA,NA,NA,4.0,2.0,6.0,NA,NA,NA,3.0,6.0,9.0,9.0,6.0,1.0,7.0,NA,3.0,NA,6.0,8.0,6.0,6.0,3.0,NA
K2C1B_HUMAN,3.9242175,7.68369,8.803954,4.924217,8.601318,4.1375294,7.1375294,4.853147,NA,1.8531468,6.6296296,11.925926,5.1851854,7.4814816,NA,0.44444445,5.740741,11.185185,10.333333,6.3333335,2.148148,5.4444447,3.4444444,3.148148,6.3333335
HPRT_HUMAN,NA,NA,NA,NA,11.0,4.0,17.0,2.0,NA,10.0,1.0,NA,2.0,4.0,3.0,NA,NA,NA,NA,5.0,2.0,1.0,2.0,4.0,NA
TES_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,7.0,1.0,NA,1.0,1.0,NA,NA,NA,5.0,2.0,2.0,NA
SUCB2_HUMAN,NA,NA,NA,NA,2.0,2.0,NA,1.0,NA,1.0,NA,2.0,4.0,4.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,3.0,7.0,NA
DBNL_HUMAN,NA,NA,NA,NA,5.0,NA,NA,6.0,NA,7.0,NA,1.0,NA,2.0,1.0,NA,2.0,NA,2.0,NA,1.0,2.0,1.0,NA,NA
RS8_HUMAN,NA,NA,NA,NA,2.0,NA,NA,NA,NA,1.0,NA,1.0,NA,7.0,NA,NA,1.0,NA,NA,4.0,5.0,3.0,NA,2.0,2.0
VDAC3_HUMAN,NA,NA,1.0,NA,3.0,2.0,NA,NA,NA,1.0,10.0,13.0,18.0,3.0,3.0,18.0,2.0,3.0,NA,11.0,4.0,8.0,22.0,8.0,4.0
PSA7_HUMAN,4.666667,NA,2.0,3.3333335,8.333334,6.0,9.0,8.0,2.6666667,6.666667,3.5,5.0,4.5,1.5,1.0,3.5,2.0,1.0,3.0,2.5,2.5,5.5,3.0,4.0,1.0
RAP1B_HUMAN,NA,NA,NA,NA,9.0,1.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,14.0,4.0,1.0,3.0,7.0,NA,6.0,3.0,2.0,3.0,NA,1.0
IL16_HUMAN,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,1.0,NA,2.0,1.0,NA,1.0,2.0,NA,NA,NA,4.0,1.0,NA,NA
GANAB_HUMAN,NA,NA,NA,NA,5.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,12.0,2.0,NA,NA,3.0,2.0,5.0,NA,NA,NA
DDX3X_HUMAN,NA,NA,0.88235295,NA,2.1764708,0.8571429,NA,NA,NA,NA,1.0714285,0.85714287,1.7142857,2.5,1.5,NA,0.42857143,0.42857143,NA,0.21428572,2.357143,3.0,6.857143,5.214286,3.2142856
RAB10_HUMAN,NA,NA,2.5978084,NA,10.290719,2.6262627,NA,1.0,3.6262627,8.107744,4.5503793,5.117852,4.911039,11.752016,9.545203,3.1930902,NA,4.695678,NA,11.897316,4.6204405,4.676779,19.240881,9.136752,4.4084506
ATPO_HUMAN,NA,NA,NA,NA,6.0,1.0,NA,NA,NA,1.0,NA,NA,6.0,9.0,7.0,NA,NA,3.0,NA,NA,NA,4.0,NA,NA,NA
TIF1B_HUMAN,NA,NA,2.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,1.0,NA,NA,NA,NA,2.0,NA,1.0,2.0,1.0,NA
TCP4_HUMAN,13.0,2.0,5.0,8.0,26.0,12.0,34.0,20.0,11.0,16.0,13.0,14.0,13.0,8.0,2.0,5.0,10.0,10.0,27.0,23.0,10.0,17.0,11.0,15.0,2.0
HLAB_HUMAN,NA,NA,NA,0.09090909,0.13742071,NA,NA,NA,NA,NA,1.1785715,0.3214286,0.71428573,0.71428573,2.2142856,0.17857143,NA,1.0,NA,NA,NA,1.1428571,NA,NA,NA
CBX3_HUMAN,NA,NA,NA,0.7777778,1.5555556,1.6,6.8,1.6,NA,7.0,NA,NA,NA,1.0,2.1818182,0.72727275,1.7272727,NA,14.181818,3.909091,NA,2.1818182,2.1818182,2.1818182,1.7272727
S10A9_HUMAN,NA,NA,NA,11.0,1.0,6.0,5.0,15.0,1.0,9.0,1.0,6.0,7.0,NA,NA,NA,NA,NA,8.0,3.0,18.0,12.0,6.0,1.0,NA
YBOX1_HUMAN,NA,NA,NA,NA,2.0,NA,2.0,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,2.0,NA,4.0,NA,NA,NA,NA,NA,NA
RL13_HUMAN,NA,NA,NA,1.0,3.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,NA,10.0,2.0,NA,5.0,4.0,4.0,2.0,5.0,9.0,NA,6.0,3.0
TEBP_HUMAN,2.0,NA,NA,5.0,10.0,8.0,18.0,10.0,3.0,9.0,NA,NA,NA,1.0,5.0,1.0,NA,5.0,5.0,9.0,7.0,6.0,NA,7.0,NA
AL9A1_HUMAN,NA,NA,NA,NA,15.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,6.0,NA,NA,6.0,2.0,NA,NA,NA
CBR1_HUMAN,NA,NA,NA,NA,2.8,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA
RS16_HUMAN,3.0,NA,4.0,2.0,4.0,1.0,NA,NA,NA,2.0,5.0,4.0,8.0,NA,1.0,6.0,5.0,4.0,5.0,2.0,7.0,1.0,4.0,NA,2.0
PSA1_HUMAN,NA,NA,NA,NA,4.0,NA,9.0,4.0,NA,2.0,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,1.0,NA,1.0,3.0,NA,1.0
RL3_HUMAN,NA,NA,NA,1.0,2.0,3.0,NA,NA,1.0,NA,NA,2.0,2.0,6.0,1.0,2.0,NA,NA,NA,2.0,4.0,NA,NA,4.0,NA
RL18A_HUMAN,NA,NA,NA,NA,9.0,NA,4.0,7.0,3.0,6.0,1.0,NA,NA,8.0,3.0,2.0,3.0,7.0,1.0,4.0,6.0,1.0,6.0,9.0,3.0
K2C79_HUMAN,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ILF2_HUMAN,3.0,NA,4.0,NA,6.0,5.0,NA,NA,NA,1.0,7.0,7.0,9.0,3.0,10.0,10.0,5.0,11.0,2.0,11.0,9.0,7.0,16.0,5.0,5.0
S10A6_HUMAN,NA,NA,5.0,5.0,NA,3.0,NA,2.0,NA,NA,10.0,9.0,4.0,NA,NA,NA,NA,NA,5.0,NA,2.0,1.0,3.0,9.0,1.0
RL15_HUMAN,NA,NA,1.0,NA,4.0,NA,1.0,NA,3.0,4.0,1.0,NA,2.0,2.0,NA,3.0,NA,NA,NA,NA,NA,2.0,NA,5.0,NA
RL30_HUMAN,3.0,1.0,4.0,2.0,13.0,8.0,14.0,20.0,2.0,17.0,2.0,7.0,7.0,16.0,7.0,18.0,5.0,12.0,NA,8.0,8.0,5.0,11.0,12.0,2.0
RAB1A_HUMAN,NA,NA,0.21063311,NA,0.42897725,,,,,,,,,,,,,,,,,,,,
DHX15_HUMAN,NA,NA,NA,NA,10.0,NA,7.0,1.0,8.0,9.0,NA,NA,1.0,8.0,8.0,1.0,1.0,NA,NA,NA,NA,NA,6.0,9.0,2.0
PUR9_HUMAN,NA,NA,NA,NA,3.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA
H31T_HUMAN,13.0,14.0,14.0,13.0,7.0,13.0,NA,NA,5.0,7.0,15.0,18.0,13.0,12.0,16.0,20.0,19.0,15.0,12.0,17.0,13.0,10.0,15.0,11.0,10.0
SEPT7_HUMAN,4.0,NA,NA,NA,17.0,NA,8.0,NA,NA,5.0,1.0,8.0,NA,15.0,11.0,15.0,11.0,17.0,NA,3.0,8.0,6.0,4.0,10.0,NA
ALDR_HUMAN,NA,1.0,NA,NA,2.0,NA,NA,NA,NA,NA,NA,6.0,5.0,2.0,NA,NA,NA,17.0,NA,3.0,7.0,1.0,NA,6.0,NA
CAPG_HUMAN,NA,NA,NA,NA,2.0,7.0,NA,NA,NA,NA,NA,NA,2.0,5.0,6.0,NA,NA,NA,5.0,NA,13.0,6.0,NA,NA,NA
PDIA4_HUMAN,NA,NA,NA,NA,3.0,NA,1.0,NA,3.0,3.0,NA,NA,2.0,11.0,10.0,10.0,3.0,NA,2.0,2.0,4.0,3.0,1.0,2.0,NA
PP1A_HUMAN,NA,NA,NA,NA,4.0,4.2894735,13.342106,2.0,2.0,11.342106,NA,NA,1.6470588,1.0,NA,NA,NA,0.64705884,1.9411765,NA,NA,1.6470588,1.0,7.0,NA
AMPL_HUMAN,NA,NA,NA,2.0,5.0,NA,13.0,10.0,NA,12.0,,,,,,,,,,,,,,,
SRSF4_HUMAN,0.27272728,NA,NA,NA,5.4025974,4.224638,7.5338163,4.9130435,0.47826087,4.869565,2.5,0.5,NA,2.5,2.5,NA,1.5,NA,6.5,7.5,1.0,0.5,NA,0.5,4.0
PSMA8_HUMAN,2.3333335,NA,1.0,1.6666667,3.6666667,3.0,4.0,4.0,1.3333334,3.3333335,3.5,5.0,4.5,1.5,1.0,2.5,2.0,1.0,4.0,2.5,2.5,5.5,3.0,4.0,1.0
RL24_HUMAN,NA,NA,NA,NA,1.0,2.0,1.0,NA,3.0,1.0,2.0,1.0,NA,2.0,NA,7.0,8.0,14.0,4.0,10.0,NA,1.0,NA,NA,9.0
RAB8A_HUMAN,NA,NA,0.07021104,NA,1.1429925,,,,,,0.09100759,0.06235705,0.038220778,0.09504033,1.0709041,0.0638618,NA,0.073913574,NA,0.077946305,0.07240882,0.09353557,0.14481764,0.042735044,0.028169014
THIO_HUMAN,5.0,1.0,NA,1.0,NA,12.0,18.0,8.0,2.0,5.0,2.0,2.0,1.0,NA,NA,10.0,3.0,NA,7.0,16.0,9.0,9.0,7.0,6.0,NA
GBB1_HUMAN,2.0,1.0,NA,NA,3.28,9.965517,NA,1.0,5.4827585,NA,4.688889,5.911111,13.755555,11.533333,5.688889,NA,NA,NA,NA,9.911111,10.066667,10.911111,2.5333333,1.0,NA
RALY_HUMAN,4.0,NA,NA,NA,NA,NA,NA,3.0,NA,2.0,1.0,2.0,NA,NA,1.0,NA,NA,NA,2.0,NA,2.0,3.0,NA,1.0,NA
ARPC5_HUMAN,4.0,1.0,6.0,8.0,14.0,NA,1.0,9.0,8.0,12.0,11.0,6.0,10.0,6.0,13.0,15.0,8.0,11.0,13.0,7.0,11.0,9.0,11.0,5.0,7.0
GSTP1_HUMAN,3.0,NA,NA,NA,1.0,4.0,5.0,10.0,2.0,7.0,NA,4.0,6.0,2.0,1.0,NA,NA,NA,NA,NA,NA,3.0,NA,4.0,NA
S10A4_HUMAN,NA,NA,NA,3.0,4.0,2.0,8.0,5.0,3.0,6.0,6.0,6.0,7.0,6.0,NA,10.0,NA,6.0,10.0,4.0,11.0,5.0,2.0,2.0,2.0
CAND1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,2.0,NA,NA,NA,1.0,4.0,2.0,1.0,NA,NA
MYO1G_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,14.0,2.0,7.0,4.0,NA,NA,NA,1.0,4.0,1.0,1.0,NA,NA
GBB2_HUMAN,NA,NA,NA,NA,2.72,2.034483,NA,NA,0.51724136,NA,0.31111112,1.0888889,1.2444445,3.4666667,0.31111112,NA,NA,NA,NA,2.088889,2.9333334,2.088889,0.4666667,NA,NA
GMFG_HUMAN,5.0,1.0,NA,2.0,7.0,7.0,10.0,9.0,2.0,5.0,11.934426,2.0,3.9672132,9.983606,7.95082,NA,NA,2.0,8.95082,7.967213,10.983606,15.885246,NA,1.9836066,NA
SAHH_HUMAN,NA,NA,NA,NA,7.0,NA,9.0,3.0,2.0,NA,NA,2.0,NA,7.0,3.0,NA,NA,NA,NA,1.0,4.0,NA,NA,NA,1.0
RS3A_HUMAN,NA,NA,NA,NA,NA,NA,NA,2.0,NA,6.0,NA,NA,NA,3.0,2.0,NA,NA,NA,NA,NA,5.0,NA,NA,5.0,NA
CPNS1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,3.0,NA,1.0,2.0,2.0,NA,NA,NA
DOCK2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,1.0,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,NA,1.0
RS4X_HUMAN,2.0,NA,NA,NA,16.0,NA,5.0,5.0,NA,11.0,NA,1.0,NA,15.0,10.0,10.0,NA,4.0,NA,3.0,NA,1.0,2.0,3.0,NA
HMGN1_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0
ARP3B_HUMAN,NA,NA,0.0035971224,0.0035971224,NA,0.019292604,NA,0.003215434,0.009646302,NA,0.015432099,0.027777778,0.018518519,0.0061728396,0.021604938,NA,NA,0.009259259,0.0061728396,0.012345679,0.015432099,1.0154321,0.024691358,0.037037037,0.012345679
GSHB_HUMAN,NA,NA,NA,NA,1.0,NA,7.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,1.0,NA,NA,NA,NA,NA
CD44_HUMAN,NA,NA,NA,NA,3.0,2.0,NA,4.0,2.0,6.0,NA,NA,4.0,2.0,2.0,1.0,NA,6.0,NA,2.0,2.0,1.0,6.0,1.0,1.0
K2C8_HUMAN,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
RAB5C_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,3.0,2.9473684,1.0,9.0,NA,NA,NA,NA,1.0,1.9473684,NA,NA,NA
RAB7A_HUMAN,NA,NA,1.0,NA,NA,NA,NA,NA,NA,3.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,2.0,1.0,NA,NA,NA
IF4A3_HUMAN,NA,NA,NA,0.07017544,1.0,2.0869565,NA,1.0,NA,NA,1.106599,2.0,5.106599,2.213198,NA,NA,0.10659899,1.106599,NA,1.0,2.213198,3.0,2.0,2.0,0.10659899
SRSF5_HUMAN,0.36363637,NA,NA,NA,8.727273,1.0869565,3.2173913,1.8695652,0.2173913,2.3043478,,,,,,,,,,,,,,,
RS7_HUMAN,NA,NA,NA,NA,13.0,NA,4.0,NA,1.0,7.0,NA,8.0,7.0,14.0,4.0,8.0,NA,NA,NA,2.0,3.0,2.0,6.0,NA,4.0
SRSF2_HUMAN,8.0,4.0,2.0,3.0,10.0,12.0,7.0,6.0,NA,4.0,13.0,10.0,10.0,8.0,6.0,1.0,8.0,16.0,20.0,10.0,7.0,9.0,7.0,16.0,8.0
CNDP2_HUMAN,NA,NA,NA,NA,7.0,NA,NA,3.0,NA,4.0,NA,NA,NA,7.0,3.0,NA,NA,NA,NA,NA,NA,NA,2.0,1.0,NA
CBX1_HUMAN,NA,NA,NA,0.22222222,0.44444445,1.4,0.2,0.4,NA,2.0,NA,NA,NA,NA,1.8181819,0.27272728,0.27272728,NA,4.818182,1.0909091,NA,0.8181819,1.8181819,0.8181819,0.27272728
NP1L1_HUMAN,NA,NA,NA,NA,3.0,NA,2.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,2.0,NA,NA,NA,NA
SRSF6_HUMAN,0.36363637,NA,NA,NA,5.87013,2.6884058,4.248792,1.2173913,1.3043478,1.8260869,2.5,0.5,NA,2.5,0.5,NA,1.5,NA,8.5,7.5,1.0,0.5,NA,0.5,4.0
KAD2_HUMAN,NA,NA,NA,NA,NA,2.0,1.0,NA,NA,NA,2.0,NA,3.0,7.0,8.0,NA,NA,1.0,1.0,NA,4.0,3.0,7.0,1.0,NA
