Protein Set	Description	K02	K04	K05	K07	K10	K12	K18	K20	K23	K24	K26	K27	K31	K32	K35	K41	K03	K06	K08	K09	K11	K13	K14	K15	K19	K22	K28	K29	K38	K40	K42	K43	K44	Z01	Z03	Z05	Z07	Z09	Z16	Z17	Z18	Z19	Z20	Z23	Z02	Z06	Z10	Z11	Z12	Z13	Z14	Z15	Z21	Z22	Z04	Z08	Z25
ACAT1	na	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
MRPL58	na	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	2.0	1.0	3.0	2.0	3.0	1.0	3.0	1.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	2.0
GPHN	na	1.0	1.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	2.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0
UIMC1	na	9.0	11.0	10.0	9.0	8.0	11.0	6.0	9.0	11.0	10.0	10.0	10.0	10.0	8.0	12.0	8.0	7.0	9.0	9.0	10.0	8.0	9.0	11.0	12.0	10.0	12.0	7.0	10.0	9.0	11.0	11.0	8.0	9.0	8.0	4.0	7.0	7.0	9.0	9.0	11.0	9.0	7.0	9.0	9.0	8.0	6.0	8.0	9.0	5.0	8.0	7.0	11.0	10.0	6.0	8.0	9.0	9.0
NOL10	na	4.0	5.0	3.0	4.0	5.0	4.0	1.0	2.0	3.0	4.0	5.0	4.0	5.0	3.0	4.0	3.0	5.0	5.0	3.0	5.0	4.0	5.0	4.0	4.0	1.0	5.0	3.0	5.0	3.0	5.0	5.0	5.0	5.0	4.0	4.0	3.0	4.0	4.0	5.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	5.0	5.0
LSR	na	5.0	4.0	4.0	4.0	1.0	5.0	2.0	3.0	1.0	3.0	2.0	4.0	4.0	2.0	5.0	4.0	0.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	1.0	2.0	2.0	5.0	1.0	0.0	3.0	0.0	1.0	1.0	1.0	3.0	3.0	0.0	2.0	3.0	2.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0
GALE	na	1.0	2.0	3.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	1.0	3.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	1.0
SH3GLB1	na	11.0	11.0	9.0	12.0	10.0	10.0	7.0	6.0	8.0	7.0	11.0	10.0	9.0	11.0	8.0	11.0	8.0	10.0	6.0	12.0	10.0	9.0	11.0	11.0	7.0	10.0	6.0	10.0	11.0	11.0	12.0	10.0	10.0	9.0	11.0	11.0	12.0	11.0	12.0	12.0	12.0	10.0	11.0	9.0	11.0	10.0	6.0	6.0	9.0	11.0	13.0	10.0	12.0	12.0	13.0	12.0	10.0
HBA2	na	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
MAX	na	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
INIP	na	4.0	3.0	4.0	4.0	3.0	3.0	0.0	3.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	2.0	2.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	1.0	1.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	3.0	4.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0	4.0	2.0	2.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	2.0
CCDC43	na	4.0	4.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	3.0	5.0	5.0	3.0	4.0	4.0	3.0	2.0	4.0	3.0	3.0	5.0	2.0	4.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	4.0	4.0	4.0	3.0	2.0	1.0	3.0	3.0	5.0	3.0	3.0	3.0	1.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	3.0	5.0	4.0	3.0
SF4	na	4.0	4.0	5.0	6.0	5.0	4.0	2.0	3.0	3.0	3.0	6.0	3.0	6.0	5.0	5.0	4.0	3.0	5.0	3.0	4.0	6.0	6.0	2.0	3.0	3.0	3.0	5.0	5.0	2.0	3.0	4.0	3.0	3.0	3.0	2.0	1.0	2.0	3.0	5.0	4.0	4.0	4.0	2.0	5.0	1.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	3.0	4.0	1.0	5.0	4.0
SWAP70	na	3.0	3.0	4.0	1.0	3.0	4.0	4.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	1.0	4.0	2.0	1.0	1.0	3.0	3.0	2.0	4.0	2.0	3.0	0.0	1.0	3.0	1.0	3.0	4.0	2.0	4.0	3.0	2.0	3.0
GGH	na	8.0	6.0	7.0	7.0	10.0	10.0	11.0	7.0	8.0	7.0	9.0	8.0	10.0	5.0	6.0	8.0	7.0	10.0	3.0	6.0	7.0	6.0	10.0	7.0	10.0	9.0	7.0	7.0	9.0	9.0	6.0	7.0	8.0	7.0	8.0	6.0	9.0	10.0	7.0	9.0	7.0	10.0	7.0	7.0	9.0	6.0	10.0	7.0	9.0	8.0	9.0	9.0	10.0	10.0	11.0	7.0	6.0
EHBP1L1	na	2.0	5.0	5.0	4.0	4.0	6.0	4.0	1.0	1.0	1.0	3.0	3.0	5.0	4.0	2.0	4.0	2.0	5.0	1.0	1.0	4.0	2.0	3.0	4.0	1.0	3.0	2.0	4.0	5.0	4.0	5.0	5.0	6.0	5.0	2.0	2.0	3.0	4.0	4.0	5.0	5.0	4.0	1.0	7.0	4.0	4.0	1.0	1.0	3.0	3.0	4.0	4.0	3.0	5.0	5.0	5.0	2.0
EDARADD	na	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0
TLE3	na	3.0	6.0	6.0	5.0	6.0	6.0	6.0	3.0	2.0	3.0	4.0	5.0	5.0	5.0	4.0	6.0	5.0	5.0	3.0	5.0	5.0	6.0	5.0	6.0	2.0	5.0	6.0	6.0	5.0	5.0	5.0	6.0	5.0	8.0	6.0	7.0	6.0	7.0	6.0	6.0	6.0	5.0	6.0	5.0	5.0	6.0	1.0	4.0	5.0	4.0	7.0	6.0	5.0	6.0	7.0	7.0	6.0
HLA-C	na	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
HTATSF1	na	37.0	31.0	35.0	28.0	29.0	26.0	26.0	30.0	31.0	31.0	37.0	37.0	31.0	32.0	34.0	39.0	28.0	33.0	15.0	31.0	31.0	26.0	32.0	34.0	35.0	31.0	25.0	35.0	29.0	37.0	35.0	34.0	32.0	35.0	26.0	26.0	30.0	32.0	34.0	29.0	29.0	36.0	26.0	28.0	29.0	29.0	32.0	34.0	27.0	33.0	35.0	30.0	35.0	29.0	30.0	36.0	34.0
PGM2	na	42.0	40.0	39.0	42.0	35.0	36.0	39.0	39.0	33.0	35.0	43.0	43.0	40.0	44.0	39.0	44.0	41.0	44.0	24.0	39.0	43.0	37.0	44.0	42.0	36.0	41.0	30.0	44.0	39.0	45.0	46.0	43.0	40.0	40.0	40.0	40.0	39.0	40.0	43.0	41.0	39.0	42.0	36.0	43.0	41.0	43.0	31.0	31.0	35.0	38.0	41.0	38.0	41.0	39.0	39.0	48.0	45.0
ACSF2	na	7.0	7.0	3.0	7.0	3.0	4.0	5.0	0.0	1.0	3.0	3.0	7.0	5.0	4.0	2.0	4.0	3.0	1.0	1.0	4.0	4.0	1.0	5.0	4.0	0.0	4.0	2.0	5.0	5.0	5.0	6.0	4.0	3.0	5.0	4.0	4.0	8.0	7.0	5.0	8.0	8.0	6.0	3.0	6.0	2.0	5.0	0.0	2.0	3.0	2.0	7.0	7.0	3.0	6.0	4.0	5.0	7.0
NOP58	na	33.0	33.0	29.0	30.0	26.0	28.0	24.0	22.0	24.0	26.0	31.0	32.0	29.0	28.0	28.0	33.0	27.0	29.0	18.0	30.0	28.0	25.0	31.0	31.0	21.0	26.0	24.0	30.0	29.0	31.0	31.0	31.0	31.0	29.0	30.0	29.0	29.0	30.0	31.0	31.0	31.0	32.0	27.0	30.0	30.0	30.0	26.0	23.0	26.0	29.0	29.0	30.0	27.0	27.0	28.0	31.0	31.0
RMC1	na	3.0	5.0	5.0	3.0	3.0	4.0	4.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	4.0	3.0	3.0	2.0	3.0	4.0	3.0	4.0	4.0	1.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	4.0	3.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	2.0	4.0	5.0	3.0	0.0	0.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0
TROVE2	na	25.0	27.0	22.0	27.0	25.0	21.0	21.0	27.0	21.0	22.0	25.0	25.0	24.0	25.0	26.0	24.0	24.0	25.0	13.0	23.0	25.0	20.0	25.0	23.0	20.0	23.0	19.0	23.0	24.0	24.0	24.0	26.0	26.0	29.0	25.0	27.0	27.0	27.0	28.0	28.0	27.0	25.0	26.0	26.0	27.0	25.0	20.0	21.0	21.0	24.0	25.0	28.0	27.0	27.0	25.0	29.0	28.0
UBQLN1	na	12.0	11.0	9.0	12.0	9.0	8.0	9.0	9.0	10.0	9.0	11.0	12.0	10.0	13.0	11.0	10.0	10.0	12.0	8.0	11.0	11.0	8.0	10.0	11.0	11.0	9.0	7.0	8.0	10.0	10.0	9.0	12.0	11.0	11.0	10.0	9.0	9.0	11.0	12.0	12.0	10.0	10.0	10.0	12.0	11.0	9.0	10.0	9.0	8.0	9.0	10.0	8.0	11.0	9.0	12.0	10.0	10.0
TMED7-TICAM2	na	6.0	7.0	5.0	7.0	8.0	5.0	6.0	5.0	5.0	6.0	6.0	6.0	7.0	6.0	5.0	6.0	6.0	6.0	3.0	8.0	7.0	4.0	6.0	6.0	3.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0	7.0	8.0	8.0	7.0	7.0	8.0	7.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	7.0	7.0	8.0	6.0	7.0	8.0	6.0	6.0
HLA-DRA	na	5.0	6.0	4.0	4.0	5.0	5.0	5.0	3.0	3.0	3.0	5.0	4.0	5.0	3.0	4.0	5.0	4.0	4.0	1.0	4.0	5.0	4.0	6.0	4.0	2.0	4.0	2.0	6.0	6.0	6.0	5.0	5.0	6.0	4.0	4.0	5.0	6.0	3.0	6.0	4.0	6.0	3.0	4.0	6.0	5.0	4.0	2.0	3.0	5.0	4.0	5.0	6.0	4.0	6.0	6.0	6.0	6.0
WARS	na	24.0	26.0	24.0	26.0	25.0	23.0	25.0	23.0	17.0	16.0	27.0	27.0	24.0	23.0	24.0	27.0	19.0	28.0	13.0	22.0	23.0	18.0	22.0	24.0	13.0	25.0	16.0	22.0	21.0	27.0	24.0	25.0	24.0	29.0	27.0	23.0	25.0	21.0	23.0	24.0	25.0	26.0	23.0	28.0	25.0	27.0	19.0	17.0	23.0	21.0	21.0	24.0	21.0	26.0	25.0	23.0	25.0
ASL	na	3.0	3.0	3.0	4.0	2.0	3.0	3.0	1.0	1.0	2.0	4.0	3.0	4.0	2.0	2.0	3.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	4.0	2.0	2.0	1.0	4.0	1.0	5.0	3.0	4.0	1.0	3.0	2.0	2.0	4.0	5.0	3.0	2.0	3.0	3.0	1.0	3.0	3.0	2.0	1.0	1.0	3.0	2.0	4.0	4.0	3.0	3.0	4.0	3.0	3.0
HBA1	na	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
BPI	na	5.0	8.0	6.0	6.0	4.0	2.0	9.0	7.0	6.0	4.0	7.0	5.0	4.0	4.0	3.0	7.0	9.0	7.0	3.0	2.0	4.0	6.0	3.0	6.0	3.0	5.0	4.0	5.0	6.0	8.0	7.0	3.0	7.0	4.0	3.0	3.0	7.0	4.0	5.0	4.0	5.0	4.0	10.0	4.0	6.0	6.0	3.0	5.0	8.0	4.0	8.0	8.0	3.0	3.0	4.0	4.0	6.0
LSP1	na	29.0	30.0	27.0	30.0	27.0	26.0	25.0	27.0	23.0	24.0	29.0	27.0	27.0	31.0	31.0	28.0	25.0	28.0	28.0	28.0	26.0	23.0	27.0	28.0	27.0	29.0	25.0	27.0	26.0	27.0	27.0	28.0	28.0	27.0	26.0	27.0	25.0	26.0	26.0	26.0	26.0	27.0	27.0	25.0	27.0	28.0	28.0	28.0	23.0	28.0	27.0	27.0	28.0	28.0	27.0	28.0	26.0
POGLUT1	na	6.0	7.0	4.0	7.0	5.0	7.0	4.0	4.0	3.0	6.0	7.0	6.0	7.0	6.0	6.0	7.0	5.0	5.0	1.0	6.0	7.0	4.0	7.0	6.0	2.0	4.0	5.0	5.0	6.0	4.0	7.0	5.0	7.0	4.0	4.0	6.0	6.0	5.0	6.0	6.0	4.0	4.0	5.0	6.0	5.0	4.0	3.0	3.0	4.0	5.0	6.0	5.0	5.0	4.0	7.0	4.0	6.0
EBNA1BP2	na	11.0	10.0	11.0	9.0	8.0	10.0	5.0	8.0	10.0	9.0	10.0	9.0	9.0	10.0	11.0	10.0	5.0	10.0	6.0	9.0	10.0	9.0	11.0	10.0	8.0	9.0	6.0	10.0	9.0	10.0	11.0	11.0	10.0	12.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	12.0	8.0	10.0	7.0	9.0	9.0	9.0	6.0	10.0	8.0	10.0	13.0	7.0	12.0	11.0	12.0
ZNF740	na	4.0	4.0	4.0	4.0	4.0	4.0	2.0	0.0	2.0	3.0	3.0	0.0	4.0	3.0	4.0	2.0	2.0	1.0	0.0	4.0	3.0	2.0	4.0	4.0	0.0	3.0	2.0	4.0	3.0	2.0	4.0	3.0	4.0	1.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	2.0	0.0	3.0	3.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0
CAMK1D	na	7.0	6.0	5.0	7.0	4.0	7.0	5.0	1.0	1.0	1.0	6.0	3.0	4.0	4.0	5.0	6.0	7.0	8.0	1.0	7.0	6.0	2.0	5.0	8.0	2.0	4.0	2.0	6.0	7.0	5.0	7.0	5.0	7.0	8.0	5.0	5.0	7.0	8.0	6.0	8.0	8.0	7.0	3.0	7.0	6.0	6.0	3.0	2.0	4.0	5.0	8.0	8.0	7.0	7.0	8.0	7.0	8.0
C19orf25	na	2.0	3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	0.0	2.0	3.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	1.0	0.0
MTMR12	na	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	2.0	1.0	0.0	1.0	4.0	1.0	5.0	4.0	3.0	4.0	0.0	4.0	4.0	3.0	3.0	4.0	0.0	3.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	2.0	3.0	4.0	3.0	3.0	4.0	2.0	2.0	3.0	2.0	2.0	0.0	0.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0
ARFIP1	na	3.0	3.0	5.0	3.0	3.0	5.0	3.0	2.0	2.0	1.0	3.0	4.0	3.0	2.0	1.0	4.0	1.0	4.0	1.0	4.0	4.0	1.0	3.0	4.0	1.0	2.0	3.0	3.0	2.0	3.0	4.0	2.0	4.0	2.0	1.0	1.0	3.0	3.0	2.0	4.0	3.0	1.0	3.0	2.0	2.0	2.0	1.0	0.0	2.0	1.0	3.0	4.0	4.0	3.0	3.0	2.0	2.0
PPP1R9B	na	13.0	17.0	13.0	16.0	9.0	10.0	9.0	8.0	10.0	8.0	14.0	14.0	12.0	14.0	14.0	16.0	9.0	15.0	11.0	13.0	11.0	7.0	12.0	13.0	13.0	8.0	8.0	10.0	9.0	12.0	11.0	10.0	13.0	7.0	7.0	8.0	8.0	11.0	9.0	9.0	9.0	10.0	7.0	11.0	9.0	6.0	11.0	11.0	7.0	9.0	10.0	11.0	11.0	6.0	8.0	10.0	14.0
RHOF	na	10.0	11.0	11.0	10.0	9.0	10.0	10.0	7.0	10.0	7.0	12.0	10.0	11.0	6.0	9.0	11.0	11.0	10.0	2.0	11.0	10.0	9.0	11.0	10.0	3.0	9.0	9.0	11.0	10.0	9.0	10.0	10.0	9.0	10.0	11.0	10.0	9.0	11.0	12.0	10.0	11.0	10.0	6.0	10.0	13.0	6.0	8.0	6.0	9.0	9.0	8.0	10.0	8.0	12.0	11.0	11.0	9.0
BTF3L4	na	3.0	7.0	5.0	6.0	1.0	1.0	1.0	2.0	2.0	3.0	8.0	4.0	2.0	6.0	4.0	3.0	2.0	5.0	4.0	2.0	3.0	1.0	3.0	4.0	4.0	2.0	0.0	1.0	1.0	4.0	6.0	3.0	4.0	4.0	3.0	4.0	6.0	4.0	8.0	7.0	7.0	5.0	4.0	6.0	6.0	3.0	6.0	4.0	1.0	6.0	6.0	6.0	4.0	2.0	7.0	6.0	4.0
HMGN3	na	3.0	3.0	3.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	3.0	2.0	3.0	3.0	1.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0
DDX18	na	21.0	21.0	19.0	17.0	17.0	20.0	15.0	3.0	14.0	17.0	17.0	17.0	19.0	19.0	16.0	20.0	19.0	20.0	5.0	21.0	20.0	16.0	20.0	20.0	5.0	17.0	17.0	21.0	18.0	17.0	23.0	18.0	22.0	20.0	20.0	22.0	22.0	24.0	23.0	23.0	25.0	21.0	16.0	19.0	23.0	15.0	11.0	13.0	14.0	22.0	20.0	21.0	19.0	23.0	23.0	23.0	24.0
PSMC3	na	24.0	25.0	21.0	26.0	21.0	22.0	18.0	19.0	19.0	20.0	23.0	24.0	22.0	26.0	24.0	27.0	23.0	26.0	12.0	25.0	23.0	22.0	25.0	24.0	20.0	20.0	21.0	25.0	23.0	26.0	26.0	27.0	27.0	25.0	24.0	24.0	23.0	24.0	25.0	24.0	23.0	26.0	24.0	27.0	26.0	24.0	18.0	19.0	19.0	23.0	24.0	24.0	23.0	24.0	25.0	26.0	27.0
CLASP2	na	9.0	11.0	7.0	8.0	7.0	8.0	7.0	2.0	2.0	2.0	7.0	3.0	8.0	4.0	5.0	8.0	7.0	7.0	3.0	8.0	8.0	5.0	7.0	8.0	1.0	6.0	3.0	7.0	7.0	7.0	7.0	7.0	9.0	6.0	4.0	3.0	7.0	7.0	5.0	7.0	8.0	7.0	4.0	7.0	5.0	1.0	1.0	0.0	5.0	2.0	5.0	6.0	8.0	7.0	6.0	9.0	7.0
CCBL1	na	6.0	7.0	6.0	6.0	4.0	4.0	5.0	3.0	4.0	5.0	5.0	5.0	4.0	6.0	5.0	5.0	6.0	5.0	1.0	6.0	6.0	4.0	6.0	6.0	6.0	5.0	2.0	6.0	6.0	5.0	6.0	6.0	7.0	6.0	4.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	5.0	5.0	6.0	4.0	4.0	4.0	4.0	6.0	5.0	5.0	4.0	6.0	6.0	6.0	6.0
MBOAT7	na	5.0	5.0	5.0	4.0	3.0	5.0	5.0	1.0	3.0	3.0	3.0	2.0	4.0	4.0	4.0	4.0	3.0	3.0	1.0	5.0	5.0	3.0	3.0	5.0	1.0	3.0	3.0	5.0	3.0	4.0	3.0	2.0	4.0	3.0	4.0	3.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	4.0	2.0	1.0	0.0	5.0	3.0	4.0	5.0	3.0	5.0	5.0	5.0	4.0
PACSIN2	na	14.0	17.0	15.0	18.0	16.0	16.0	15.0	16.0	16.0	15.0	16.0	15.0	16.0	18.0	17.0	16.0	16.0	17.0	11.0	16.0	13.0	16.0	14.0	16.0	17.0	14.0	11.0	15.0	14.0	17.0	15.0	17.0	15.0	16.0	15.0	15.0	17.0	14.0	16.0	16.0	16.0	14.0	15.0	16.0	17.0	13.0	14.0	17.0	16.0	15.0	16.0	15.0	18.0	15.0	15.0	16.0	16.0
PSMB3	na	13.0	12.0	11.0	12.0	11.0	9.0	11.0	12.0	10.0	9.0	12.0	13.0	11.0	11.0	12.0	12.0	11.0	14.0	7.0	11.0	11.0	8.0	12.0	12.0	13.0	10.0	7.0	11.0	11.0	13.0	13.0	12.0	11.0	14.0	12.0	12.0	12.0	10.0	13.0	12.0	13.0	13.0	14.0	13.0	12.0	12.0	13.0	12.0	8.0	12.0	10.0	11.0	13.0	12.0	11.0	13.0	10.0
RSF1	na	10.0	13.0	9.0	12.0	7.0	9.0	9.0	3.0	7.0	8.0	7.0	4.0	8.0	11.0	14.0	14.0	7.0	5.0	7.0	8.0	9.0	8.0	9.0	12.0	4.0	6.0	6.0	13.0	9.0	9.0	14.0	11.0	10.0	8.0	9.0	5.0	7.0	11.0	10.0	10.0	10.0	8.0	8.0	11.0	6.0	6.0	6.0	11.0	10.0	6.0	6.0	7.0	10.0	8.0	11.0	9.0	12.0
PLCB2	na	22.0	24.0	19.0	21.0	19.0	24.0	21.0	21.0	16.0	16.0	23.0	24.0	22.0	22.0	18.0	22.0	18.0	23.0	9.0	22.0	21.0	16.0	24.0	23.0	16.0	25.0	13.0	24.0	22.0	22.0	16.0	20.0	22.0	23.0	23.0	19.0	26.0	25.0	25.0	25.0	25.0	24.0	14.0	23.0	18.0	16.0	12.0	11.0	18.0	22.0	21.0	22.0	23.0	25.0	26.0	24.0	24.0
INTS12	na	3.0	2.0	2.0	1.0	3.0	2.0	1.0	0.0	3.0	1.0	2.0	1.0	2.0	1.0	1.0	3.0	3.0	3.0	0.0	2.0	2.0	1.0	2.0	3.0	0.0	2.0	2.0	2.0	0.0	2.0	3.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0
TATDN3	na	4.0	5.0	4.0	4.0	3.0	4.0	3.0	5.0	5.0	4.0	6.0	7.0	3.0	5.0	4.0	3.0	3.0	4.0	1.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	3.0	3.0	4.0	6.0	4.0	3.0	3.0	5.0	2.0	0.0	4.0	2.0	2.0	4.0	3.0	3.0	3.0	4.0	3.0	1.0	5.0	5.0	3.0	5.0	5.0	2.0	1.0	1.0	2.0	3.0	2.0
ILK	na	16.0	18.0	15.0	17.0	15.0	18.0	16.0	11.0	11.0	10.0	15.0	14.0	16.0	16.0	14.0	17.0	14.0	13.0	6.0	15.0	16.0	13.0	15.0	15.0	4.0	12.0	10.0	14.0	15.0	15.0	16.0	16.0	14.0	17.0	17.0	15.0	17.0	17.0	15.0	17.0	16.0	17.0	14.0	17.0	15.0	15.0	9.0	7.0	16.0	16.0	16.0	15.0	17.0	17.0	18.0	16.0	16.0
SORT1	na	1.0	1.0	4.0	1.0	1.0	3.0	6.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	1.0	2.0	1.0	3.0	0.0	3.0	2.0	0.0	1.0	1.0	1.0	3.0	0.0	2.0	3.0	3.0	3.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	4.0	1.0	2.0	1.0
LEO1	na	4.0	4.0	3.0	2.0	3.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	2.0	3.0	4.0	4.0	5.0	4.0	2.0	4.0	2.0	5.0	3.0	3.0	4.0	4.0	2.0	5.0	4.0	4.0	5.0	3.0	4.0	4.0	4.0
